CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PASSA POR COMITÊ;PARTICIPAÇÃO;STATUS;DATA DE CADASTRO;PERÍODO DE VIGÊNCIA;
PI03654-2019;UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIA;Diálogos entre Educação do Campo e Educação Jurídica: reflexões sobre as turmas de Direito no âmbito do Programa Nacional de Educação na Reforma Agrária - PRONERA;Ciências Sociais Aplicadas - Direito - Direitos Especiais;Tipo de vínculo desconhecido;sim;não;ANDREILSON DA SILVA DE ARAÚJO (DISCENTE - Colaborador), CLEUTON CESAR RIPOL DE FREITAS (DOCENTE - Coordenador), ERIKA MACEDO MOREIRA (DOCENTE - Colaborador), JANAINA TUDE SEVA (DOCENTE - Colaborador), LETICIA GARCES DE SOUZA PAIVA (DISCENTE - Colaborador), LIGIA MICHELE PEREIRA DE SOUSA (DISCENTE - Colaborador), RAWY SENA DE OLIVEIRA GUIMARÃES (EXTERNO - Colaborador), TATYANA MAGALHAES FERREIRA (DISCENTE - Colaborador), VALDOMIRO ALVES DA SILVA NETO (DISCENTE - Colaborador);EM ANDAMENTO;08/04/2019;08/04/2019 a 15/12/2020;
PI03790-2019;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Capacitação de recursos humanos em Angola e avaliação de seu impacto para melhorias nas ações de imunização em Angola;Ciências da Saúde - Saúde Coletiva;Tipo de vínculo desconhecido;sim;não;CRISTIANA MARIA TOSCANO (DOCENTE - Coordenador);SUBMETIDO;25/06/2019;01/03/2019 a 31/12/2021;
PI03779-2019;FACULDADE DE EDUCACAO;Políticas de Expansão da Educação a Distância (EaD) no Brasil: Regulação, Qualidade e Inovação em Questão;Ciências Humanas - Educação - Administração Educacional - Administração de Sistemas Educacionais;Tipo de vínculo desconhecido;sim;sim;ALESSANDRA MAIESKI (EXTERNO - Colaborador), ALEXANDRE MARTINS DOS ANJOS (EXTERNO - Colaborador), ANA LARA CASAGRANDE (EXTERNO - Colaborador), ANA MARIA RIBAS (EXTERNO - Colaborador), ANA PAULA KUHN (EXTERNO - Colaborador), ANDRÉIA MELLO LACÉ (EXTERNO - Colaborador), ARLINDA CANTERO DORSA (EXTERNO - Colaborador), CARINA ELISABETH MACIEL (EXTERNO - Colaborador), CARMENÍSIA JACOBINA AIRES (EXTERNO - Colaborador), CATARINA DE ALMEIDA SANTOS (EXTERNO - Vice-coodernador), CHRISTIANE SARATE SIQUEIRA (EXTERNO - Colaborador), CRISTIANO COSTA ARGEMON VIEIRA (EXTERNO - Colaborador), CRISTIANO MACIEL (EXTERNO - Colaborador), DAIANI DAMM TONETTO RIEDNER (EXTERNO - Colaborador), DANIELA DA COSTA BRITTO PEREIRA LIMA (DOCENTE - Coordenador), DANIEL CAIXETA QUEIROZ GARCIA (EXTERNO - Colaborador), DANIELLE XABREGAS PAMPLONA NOGUEIRA (EXTERNO - Colaborador), DANIELLY LAURA ALVES FERREIRA (EXTERNO - Colaborador), DANILO GARCIA DA SILVA (EXTERNO - Colaborador), ELDA JANE DE ALMEIDA GONTIJO (EXTERNO - Colaborador), ELKA CANDIDA DE OLIVEIRA MACHADO (DISCENTE - Colaborador), ERLINDA MARTINS BATISTA (EXTERNO - Colaborador), FLAVIA MAGALHAES FREIRE (SERVIDOR - Colaborador), FRANCIELE APARECIDA HENRIQUE TAVEIRA (EXTERNO - Colaborador), FRANCIELLE PRISCYLA POTT (EXTERNO - Colaborador), GISELE GOMES AVELAR BERNARDES (DISCENTE - Colaborador), GISELLE CRISTINA MARTINS REAL (EXTERNO - Colaborador), GUIOMAR SOUZA SILVA MENEZES (EXTERNO - Colaborador), JENNIFER DE CARVALHO MEDEIROS (EXTERNO - Colaborador), JHONNY DAVID ECHALAR (DISCENTE - Colaborador), JOAO FERREIRA DE OLIVEIRA (DOCENTE - Colaborador), JOSEANY RODRIGUES CRUZ (DISCENTE - Colaborador), JULIANE APARECIDA RIBEIRO DINIZ (DISCENTE - Colaborador), KATIA MOROSOV ALONSO (EXTERNO - Colaborador), KELLEN CHRISTINA RODRIGUES SOUZA SEIXAS (EXTERNO - Colaborador), KELLY CRISTINA DA SILVA RUAS (DOCENTE - Colaborador), LEILA CRISTINA BORGES (EXTERNO - Colaborador), LORENA BERNARDES BARCELOS (DISCENTE - Colaborador), LUCIANO PEREIRA DA SILVA (EXTERNO - Colaborador), MAGALIS BESSER DORNELES SCHNEIDER (EXTERNO - Colaborador), MARIA APARECIDA RODRIGUES DA FONSECA (DISCENTE - Colaborador), MARIA CRISTINA LIMA PANIAGO LOPES (EXTERNO - Colaborador), MARIANA FONSECA MIRANDA (EXTERNO - Colaborador), MARIANNE PEREIRA DE SOUZA (EXTERNO - Colaborador), MARINA CAMPOS NORI RODRIGUES (DISCENTE - Colaborador), MARY ANE DE SOUZA (EXTERNO - Colaborador), MIRIAM BRUM ARGUELHO (EXTERNO - Colaborador), NADIA BIGARELLA (EXTERNO - Colaborador), NICÁSSIA ALVES CEZÁRIO BRANCO (EXTERNO - Colaborador), REGINA FARIAS DE SOUZA (EXTERNO - Colaborador), ROSE MARY ALMAS DE CARVALHO (EXTERNO - Colaborador), ROSEMERY CELESTE PETTER (EXTERNO - Colaborador), ROSIMEIRE MARTINS RÉGIS DOS SANTOS (EXTERNO - Colaborador), ROSSELINI DINIZ BARBOSA RIBEIRO (EXTERNO - Colaborador), RUTE NOGUEIRA DE MORAIS BICALHO (EXTERNO - Colaborador), RUTH GONÇALVES DE FARIA LOPES (EXTERNO - Colaborador), SIMONE DE PAULA RODRIGUES (EXTERNO - Colaborador), SIMONE ESTIGARRIBIA DE LIMA (EXTERNO - Colaborador), TATIANE CUSTODIO DA SILVA BATISTA (EXTERNO - Colaborador), TEREZINHA FERNANDES MARTINS (EXTERNO - Colaborador), THABYTA LOPES REGO (DISCENTE - Colaborador), WENDY CALDEIRA DE SOUZA (DISCENTE - Colaborador);SUBMETIDO;11/06/2019;01/04/2019 a 31/08/2022;
PI03675-2019;UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JA;IDENTIFICAÇÃO DE FATORES MODULADORES DE RESPOSTAS MORFOGENÉTICAS DIVERGENTES NA EMBRIOGÊNESE SOMÁTICA EM Passiflora edulis SIMS. E P. cincinnata MAST.  ;Ciências Biológicas - Botânica - Fisiologia Vegetal - Nutrição e Crescimento Vegetal;Tipo de vínculo desconhecido;sim;não;ADRIANO NUNES NESI (EXTERNO - Colaborador), DIEGO ISMAEL ROCHA (DOCENTE - Coordenador), LÁZARA ALINE SIMÕES SILVA (DISCENTE - Colaborador), LORENA MELO VIEIRA (EXTERNO - Colaborador), MARIANA MACHADO ROCHA (EXTERNO - Colaborador), MAURECILNE LEMES DA SILVA CARVALHO (EXTERNO - Colaborador), WAGNER CAMPOS OTONI (EXTERNO - Colaborador);EM ANDAMENTO;10/04/2019;01/03/2019 a 28/02/2022;
PI03238-2019;FACULDADE DE FARMACIA;DESENVOLVIMENTO DE AGENTE FOTOPROTETOR CUTÂNEO (PROTETOR SOLAR) A PARTIR DE EXTRATO DE MATÉRIA PRIMA VEGETAL DA CAATINGA (FOLHAS E TALOS DE Passiflora Cincinnata Mast. (Passifloraceae), COM POTENCIAL FATOR DE PROTEÇÃO NATURAL E ATIVIDADE ANTIOXIDANTE;Ciências da Saúde - Farmácia - Farmacotecnia;Com Programa de Pós-graduação da UFG;sim;não;EDEMILSON CARDOSO DA CONCEICAO (DOCENTE - Coordenador), GUILHERME GOMES MOREIRA (DISCENTE - Colaborador), JACKSON ROBERTO GUEDES DA SILVA ALMEIDA (EXTERNO - Colaborador), JOSE REALINO DE PAULA (DOCENTE - Vice-coodernador), MYTHALI LIMA GARCIA (EXTERNO - Colaborador), NATHALIA FERREIRA SOUZA (DISCENTE - Colaborador), WILLIAM MIRANDA (EXTERNO - Colaborador);EM ANDAMENTO;05/02/2019;01/03/2019 a 01/03/2023;
PI03549-2019;UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIA;Direito à biodiversidade, à alimentação e Revolução Verde na América do Sul. Uma análise dos riscos, dos danos e das responsabilidades nas políticas de sementes do Brasil, da Argentina e da Bolívia;Ciências Sociais Aplicadas - Direito - Direito Público - Direito Constitucional;Tipo de vínculo desconhecido;sim;não;ALBA ESTHER DE BIANCHETTI DE MONTIEL (EXTERNO - Colaborador), EDUARDO GONCALVES ROCHA (DOCENTE - Coordenador), HARAVÍ ELOISA RUIZ (EXTERNO - Colaborador), JOSE HUMBERTO DE GOES JUNIOR (DOCENTE - Colaborador), PEDRO HENRIQUE COSTA GODEIRO CARLOS (DISCENTE - Colaborador), RAFAELA OLIVEIRA DE SOUZA (DISCENTE - Colaborador);EM ANDAMENTO;05/04/2019;22/03/2019 a 05/04/2022;
PV03213-2019;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;Elaboração de Big data para mapeamento de uso e cobertura das terras;Ciências Exatas e da Terra - Geociências - Geografia Física - Geocartografia;Tipo de vínculo desconhecido;sim;não;ALEX MOTA DOS SANTOS (DOCENTE - Colaborador), ANA PAULA MATOS E SILVA (DISCENTE - Colaborador), ANNA CLÁUDIA DOS SANTOS (DISCENTE - Colaborador), CHARLES VINÍCIUS GONÇALVES TIARINI (DISCENTE - Colaborador), CLAUDINEI OLIVEIRA DOS SANTOS (DISCENTE - Colaborador), ELAINE BARBOSA DA SILVA (DOCENTE - Coordenador), EMANUELA MATOS PIMENTA (DISCENTE - Colaborador), FERNANDA KELLY ROMEIRO SILVA (DISCENTE - Colaborador), FERNANDO MOREIRA DE ARAÚJO (DOCENTE - Colaborador), GABRIELLY CRISTINY DE ANDRADE (DISCENTE - Colaborador), LAERTE GUIMARAES FERREIRA JUNIOR (DOCENTE - Colaborador), LANA MARA SILVA TEIXEIRA (DISCENTE - Colaborador), LEANDRO LEAL PARENTE (DISCENTE - Colaborador), LUIS RODRIGO FERNANDES BAUMANN (DOCENTE - Colaborador), MANUEL EDUARDO FERREIRA (DOCENTE - Colaborador), ROBERTO DE URZEDA PAIVA (SERVIDOR - Colaborador), RODRIGO LIMA SANTOS (DISCENTE - Colaborador), SÉRGIO HENRIQUE DE MOURA NOGUEIRA (DISCENTE - Vice-coodernador);EM ANDAMENTO;22/01/2019;02/02/2019 a 31/12/2021;
PI03531-2019;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;ELABORAÇÃO DE MATERIAL DIDÁTICO TEMÁTICO SOBRE O CERRADO;Ciências Humanas - Geografia - Geografia Humana;Tipo de vínculo desconhecido;sim;sim;ADRIANA OLIVIA ALVES (DOCENTE - Vice-coodernador), AMANDA SATIL DE OLIVEIRA (DISCENTE - Colaborador), ANA PAULA DE OLIVEIRA (DOCENTE - Colaborador), CAMYLLA SILVA OTTO (DISCENTE - Colaborador), CLARA LUCIA FRANCISCA DE SOUZA (DISCENTE - Colaborador), DOMITILA THEIL RADTKE (DISCENTE - Colaborador), EDSON OLIVEIRA DE JESUS (EXTERNO - Colaborador), ELIANA MARTA BARBOSA DE MORAIS (DOCENTE - Coordenador), FABIANA RODRIGUES OLIVEIRA QUEIROZ (DISCENTE - Colaborador), FERNANDO MOREIRA DE ARAÚJO (DOCENTE - Colaborador), IVANILTON JOSE DE OLIVEIRA (DOCENTE - Colaborador), IZABELLE DE CASSIA CHAVES GALVAO (DISCENTE - Colaborador), JANINE CORDEIRO BRAGA (DISCENTE - Colaborador), LANA DE SOUZA CAVALCANTI (DOCENTE - Colaborador), LARISSA BARBARA BORGES DRUMOND (SERVIDOR - Colaborador), LAYANNE ALMEIDA DE SOUZA (DISCENTE - Colaborador), ROSENILDE SILVA DOS SANTOS (DISCENTE - Colaborador), SAMUEL DE OLIVEIRA MENDES (DISCENTE - Colaborador);EM ANDAMENTO;04/04/2019;01/01/2019 a 31/12/2021;
PI03643-2019;ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL;MONITORAMENTO DE ATERROS SANITÁRIOS;Engenharias - Engenharia Sanitária - Saneamento Básico - Residuos Sólidos, Domésticos e Industriais;Tipo de vínculo desconhecido;sim;não;DIOGENES AIRES DE MELO (EXTERNO - Colaborador), DIOGO APPEL COLVERO (SERVIDOR - Colaborador), ERALDO HENRIQUES DE CARVALHO (DOCENTE - Coordenador), SIMONE COSTA PFEIFFER (DOCENTE - Vice-coodernador);EM ANDAMENTO;08/04/2019;05/04/2019 a 05/05/2024;
PI03490-2019;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;Desenho, síntese e avaliação de peptídeos antimicrobianos análogos da Indolicidina. Potencial aplicação como agentes desinfectantes de sêmen bovino;Ciências Biológicas - Bioquímica - Química de Macromoléculas;Tipo de vínculo desconhecido;sim;não;DENIZE SILVA BRAZIL (DISCENTE - Colaborador), EDUARDO MAFFUD CILLI (EXTERNO - Colaborador), ESTEBAN NICOLAS LORENZON (DOCENTE - Coordenador), GABRIEL HENRIQUE SANTOS (DISCENTE - Colaborador), GERMÁN ERNESTO METZ (EXTERNO - Colaborador), GUILHERME ROCHA LINO DE SOUZA (DOCENTE - Colaborador), MARÍA GABRIELA ECHEVERRÍA (EXTERNO - Colaborador), MARIA LUCIA GAMBARINI (DOCENTE - Colaborador), RICARDO DE MATTOS SANTA RITA (DOCENTE - Colaborador), TAISE MARIA DOS ANJOS OLIVEIRA (DISCENTE - Colaborador);EM ANDAMENTO;02/04/2019;01/05/2019 a 01/05/2022;
PI03600-2019;FACULDADE DE CIÊNCIAS E TECNOLOGIA;APRENDER FAZENDO: A ABORDAGEM HANDS-ON PARA FUTURAS ESTUDANTES DE COMPUTAÇÃO, CIÊNCIAS EXATAS E ENGENHARIA;Ciências Exatas e da Terra - Geociências - Geologia - Mineralogia, Ciências Exatas e da Terra - Geociências - Geografia Física - Pedologia, Outras - Divulgação Científica;Tipo de vínculo desconhecido;sim;não;ALEX MOTA DOS SANTOS (DOCENTE - Colaborador), EDILENE DE SOUZA AGUIAIS (SERVIDOR - Colaborador), ELISA SOARES ROCHA BARBOSA (DOCENTE - Colaborador), ESTELA LEAL CHAGAS DO NASCIMENTO (DOCENTE - Coordenador), GRADISCA DE OLIVEIRA WERNECK DE CAPISTRANO (DOCENTE - Colaborador), IOLANDA MARIA AGUIAR (DISCENTE - Colaborador), JOANA PAULA SANCHEZ (DOCENTE - Colaborador), JOSE DE ARAUJO NOGUEIRA NETO (DOCENTE - Colaborador), LARA BATISTA FERREIRA PEREIRA (SERVIDOR - Colaborador), MARCILIA ALVES BEZERRA PIRES (SERVIDOR - Colaborador), MARCOS PAULINO RORIZ JUNIOR (DOCENTE - Colaborador), NADYA REGINA GALO (DOCENTE - Colaborador), POLIANA DE SOUSA LEITE (DOCENTE - Colaborador), RODRIGO DE ALMEIDA HERINGER (DOCENTE - Colaborador), ROSANE GOMES PEREIRA (DOCENTE - Colaborador), SYMONE GOMES SOARES ALCALA (DOCENTE - Colaborador);EM ANDAMENTO;06/04/2019;30/04/2019 a 18/12/2020;
PI03125-2019;ESCOLA DE VETERINARIA E ZOOTECNIA;TIGECICLINA, UMA NOVA PROPOSTA DE TRATAMENTO PARA FEBRE MACULOSA BRASILEIRA, VERSUS DOXICICLINA NA INFECÇÃO EXPERIMENTAL POR Rickettsia rickettsii EM COBAIOS (Cavia porcellus).;Ciências da Saúde - Saúde Coletiva - Saúde Pública, Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva - Doenças Parasitárias de Animais;Tipo de vínculo desconhecido;sim;sim;ALVARO FERREIRA JUNIOR (DOCENTE - Colaborador), ANA LAURA GONÇALVES BARRETO (DISCENTE - Colaborador), BRUNO BENETTI JUNTA TORRES (DOCENTE - Colaborador), CAIO MARCIO DE OLIVEIRA MONTEIRO (DOCENTE - Colaborador), DANIELI BROLO MARTINS (DOCENTE - Colaborador), FELIPE DA SILVA KRAWCZAK (DOCENTE - Coordenador), HELEONILSON LUIZ LUZINI (SERVIDOR - Colaborador), LUCIANNE CARDOSO NEVES (DISCENTE - Colaborador), MARCELO BAHIA LABRUNA (EXTERNO - Vice-coodernador), MARIANA XAVIER DE SOUZA (DISCENTE - Colaborador), VANESSA CARVALHO MIRANDA (DISCENTE - Colaborador), WARLEY VIEIRA DE FREITAS PAULA (DISCENTE - Colaborador), WELBER DANIEL ZANETTI LOPES (DOCENTE - Colaborador), WESLEN FABRICIO PIRES TEIXEIRA (DOCENTE - Colaborador);EM ANDAMENTO;14/12/2018;01/03/2019 a 30/12/2020;
PI03233-2019;FACULDADE DE CIÊNCIAS E TECNOLOGIA;Gênese e evolução de magmas alcalinos: um estudo geoquímico e experimental a partir dos carbonatitos e kimberlitos brasileiros  ;Ciências Exatas e da Terra - Geociências - Geologia - Mineralogia, Ciências Exatas e da Terra - Geociências - Geologia - Petrologia, Ciências Exatas e da Terra - Geociências - Geologia - Geoquímica;Sem Vínculo (Projeto Isolado);sim;não;ALTAIR SÓRIA PEREIRA (EXTERNO - Colaborador), CAROLINA MICHELON CAMARDA (DISCENTE - Colaborador), ELISA SOARES ROCHA BARBOSA (DOCENTE - Colaborador), FERNANDA GERVASONI (DOCENTE - Coordenador), JASPER BERNDT (EXTERNO - Colaborador), JOSE DE ARAUJO NOGUEIRA NETO (DOCENTE - Colaborador), JULIA TATSUE FOGACA SAIJO (DISCENTE - Colaborador), MARTHA NOELIA LIMA (DOCENTE - Colaborador), NAIRA BALZARETTI (EXTERNO - Colaborador), ROMMULO VIEIRA CONCEIÇÃO (EXTERNO - Colaborador), SILVIO ROBERTO FARIAS VLACH (EXTERNO - Colaborador), STEPHAN KLEMME (EXTERNO - Colaborador), TIAGO LUÍS REIS JALOWITZKI (EXTERNO - Colaborador), VICTOR AUGUSTO SILVA MACIEL (DISCENTE - Colaborador);EM ANDAMENTO;01/02/2019;01/01/2019 a 28/02/2022;
PI03229-2019;FACULDADE DE CIÊNCIAS E TECNOLOGIA;Proveniência das unidades glaciais Permo-Carboníferas da Bacia do Paraná baseada em dados isotópicos de U-Pb e Hf em zircões detríticos: resolvendo a glaciação Neopaleozóica no Brasil.;Ciências Exatas e da Terra - Geociências - Geologia - Geologia Regional, Ciências Exatas e da Terra - Geociências - Geologia - Geocronologia, Ciências Exatas e da Terra - Geociências - Geologia - Estratigrafia;Sem Vínculo (Projeto Isolado);sim;não;FERNANDA MACIEL CANILE (DOCENTE - Coordenador), JOANA PAULA SANCHEZ (DOCENTE - Colaborador), RODRIGO DE ALMEIDA HERINGER (DOCENTE - Colaborador);EM ANDAMENTO;31/01/2019;01/02/2019 a 01/02/2021;
;FACULDADE DE ODONTOLOGIA;INFLUÊNCIA DOS MÉTODOS DE REDUÇÃO DE DOSE DE RADIAÇÃO NA QUALIDADE DA IMAGEM EM TOMOGRAFIA COMPUTADORIZADA POR FEIXE CÔNICO;Ciências da Saúde - Odontologia - Radiologia Odontológica;Com Programa de Pós-graduação da UFG;sim;não;ANANDA AMARAL SANTOS (DISCENTE - Colaborador), BRUNNO SANTOS DE FREITAS SILVA (EXTERNO - Colaborador), FERNANDA FERREIRA NUNES (DISCENTE - Colaborador), FERNANDA PAULA YAMAMOTO SILVA (DOCENTE - Coordenador), JONAS OLIVEIRA DA SILVA (DOCENTE - Colaborador), KAIQUE LEITE DE LIMA (DISCENTE - Colaborador), LORENA ROSA SILVA (DISCENTE - Colaborador), MARCELO ANDRADE DA COSTA VIEIRA (EXTERNO - Colaborador), MARIA ALVES GARCIA SANTOS SILVA (DOCENTE - Colaborador), POLLYANNA PAWANA PEREIRA DA SILVA (DISCENTE - Colaborador);EXCLUÍDO;20/01/2019;01/01/2019 a 30/01/2021;
PI03244-2019;FACULDADE DE ODONTOLOGIA;INFLUÊNCIA DOS MÉTODOS DE REDUÇÃO DE DOSE DE RADIAÇÃO NA QUALIDADE DA IMAGEM EM TOMOGRAFIA COMPUTADORIZADA DE FEIXE CÔNICO;Ciências da Saúde - Odontologia;Com Programa de Pós-graduação da UFG;sim;não;ANANDA AMARAL SANTOS (DISCENTE - Colaborador), BRUNNO SANTOS DE FREITAS SILVA (EXTERNO - Colaborador), FERNANDA FERREIRA NUNES (DISCENTE - Colaborador), FERNANDA PAULA YAMAMOTO SILVA (DOCENTE - Coordenador), JONAS OLIVEIRA DA SILVA (DOCENTE - Colaborador), KAIQUE LEITE DE LIMA (DISCENTE - Colaborador), LORENA ROSA SILVA (DISCENTE - Colaborador), MARCELO ANDRADE DA COSTA VIEIRA (EXTERNO - Colaborador), MARIA ALVES GARCIA SANTOS SILVA (DOCENTE - Colaborador), POLLYANNA PAWANA PEREIRA DA SILVA (DISCENTE - Colaborador);EM ANDAMENTO;11/02/2019;01/01/2019 a 31/12/2021;
