CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PASSA POR COMITÊ;PARTICIPAÇÃO;STATUS;DATA DE CADASTRO;PERÍODO DE VIGÊNCIA;
PI03282-2019;INSTITUTO DE CIENCIAS BIOLOGICAS;AVALIAÇÃO DAS VARIÁVEIS CARDIOMETABÓLICAS E PSICOBIOLÓGICAS EM DIABÉTICOS SUBMETIDOS A TREINAMENTO FÍSICO;Ciências da Saúde - Medicina;Tipo de vínculo desconhecido;não;sim;ANA CRISTINA SILVA REBELO (DOCENTE - Coordenador), CARINI SILVA DA SILVA (DISCENTE - Colaborador), FLÁVIA RASMUSSEN FARIA (DISCENTE - Colaborador), GABRIELA DE OLIVEIRA TELES (DISCENTE - Colaborador), ISADORA ALVES DA SILVA (DISCENTE - Colaborador), JORDANA CAMPOS MARTINS DE OLIVEIRA (DISCENTE - Colaborador), LUCAS RAPHAEL BENTO E SILVA (DISCENTE - Colaborador), LUIZ FERNANDO MARTINS DE SOUZA FILHO (DISCENTE - Colaborador), MARCIA VERÔNICA ERTEL (DISCENTE - Colaborador), MARIA SEBASTIANA SILVA (DOCENTE - Colaborador), MATEUS ALEXANDRE GAMA CORREIA (DISCENTE - Colaborador), MATEUS NUNES MACEDO (DISCENTE - Colaborador), PAULO ROBERTO VIANA GENTIL (DOCENTE - Vice-coodernador), ROMES BITTENCOURT NOGUEIRA DE SOUSA (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);15/03/2019;10/01/2019 a 10/01/2024;
PI03286-2019;ESCOLA DE MUSICA E ARTES CENICAS;PATRIMÔNIO MUSICAL E ARQUIVÍSTICO DO LABORATÓRIO BRAZ WILSON POMPEU DE PINA DA EMAC/UFG (LABMUS/EMAC);Lingüística, Letras e Artes - Artes - Música - Composição Musical;Com Programa de Pós-graduação da UFG;não;não;ANA GUIOMAR REGO SOUZA (DOCENTE - Coordenador);EM ANDAMENTO (Documentos Conferidos);20/02/2019;20/02/2019 a 20/02/2023;
PI03753-2019;FACULDADE DE ENFERMAGEM;ASSOCIAÇÃO DA PRÁTICA DE ATIVIDADE FÍSICA SOBRE O DESEMPENHO FUNCIONAL E QUALIDADE DE VIDA ENTRE IDOSOS RESIDENTES EM CIDADE DE PEQUENO PORTE NO INTERIOR DO BRASIL;Ciências da Saúde - Saúde Coletiva - Saúde Pública, Ciências da Saúde - Educação Física;Tipo de vínculo desconhecido;não;sim;ANA LUIZA LIMA SOUSA (DOCENTE - Coordenador), RENATA DA COSTA BARBOSA (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);20/05/2019;04/02/2019 a 31/05/2021;
PI03634-2019;INSTITUTO DE MATEMATICA E ESTATISTICA;Equações Diofantinas, Sequências Recorrentes e Teoria Transcendente;Ciências Exatas e da Terra - Matemática - Álgebra - Teoria dos Números;Tipo de vínculo desconhecido;não;não;ANA PAULA DE ARAUJO CHAVES (DOCENTE - Coordenador), ANA PAULA DE MELO DA COSTA (DISCENTE - Colaborador), CAMILA SANTOS DE SÁ CARVALHO (DISCENTE - Colaborador), DIEGO MARQUES FERREIRA (EXTERNO - Colaborador), PAVEL TROJOVSKY (EXTERNO - Colaborador);EM ANDAMENTO (Documentos Conferidos);07/04/2019;01/05/2019 a 01/08/2023;
PI03345-2019;UAE REJ CIÊNCIAS HUMANAS E LETRAS;A NATUREZA DO TRABALHO DOCENTE NAS TELAS DO CINEMA:  uma análise a partir dos Multiletramentos;Lingüística, Letras e Artes - Lingüística - Lingüística Aplicada;Tipo de vínculo desconhecido;não;não;ANA PAULA DOMINGOS BALADELI (DOCENTE - Coordenador);EM ANDAMENTO (Documentos Conferidos);16/03/2019;08/04/2019 a 12/12/2020;
PI03419-2019;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;Comparação entre técnicas de realce de imagens obtidas por VANTs para identificação de fitossanidade em lavouras de soja;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação - Processamento Gráfico (Graphics);Tipo de vínculo desconhecido;não;não;ANA PAULA FREITAS VILELA BOAVENTURA (DOCENTE - Coordenador), CHRISTOFER GUSTAVSON PRADO (SERVIDOR - Colaborador), DARLY GERALDO DE SENA JUNIOR (DOCENTE - Colaborador), ESDRAS LINS BISPO JUNIOR (DOCENTE - Colaborador), GUILHERME ALVES DA SILVA (DISCENTE - Colaborador), JOÃO CARLOS GONÇALVES DOS SANTOS (DISCENTE - Colaborador), PAULO HENRIQUE LIMA (EXTERNO - Colaborador), THIAGO BORGES DE OLIVEIRA (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);24/03/2019;01/04/2019 a 01/09/2020;
PI03511-2019;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;A imagem como dispositivo midiático: produções e mediações culturais;Ciências Sociais Aplicadas - Comunicação - Comunicação Visual;Tipo de vínculo desconhecido;não;não;ALICE FATIMA MARTINS (DOCENTE - Colaborador), ANA RITA VIDICA FERNANDES (DOCENTE - Coordenador), ANA TERRA CURADO DA ROCHA (EXTERNO - Colaborador), ARTHUR ARANTES BILEGO (DISCENTE - Colaborador), DÉBORAH RODRIGUES BORGES (EXTERNO - Colaborador), EMILLY ISABELLE ASSUNÇÃO FILETTI (DISCENTE - Colaborador), GABRIELA ALVES CAMPOS (DISCENTE - Colaborador), IZIS DE SOUSA PEREIRA (DISCENTE - Colaborador), JULIA MARIANO FERREIRA (SERVIDOR - Colaborador), LARA LIMA SATLER (DOCENTE - Colaborador), LISBETH OLIVEIRA (DOCENTE - Colaborador), MARIANA CAPELETTI CALACA (EXTERNO - Colaborador), RAFAEL DE ALMEIDA TAVARES BORGES (EXTERNO - Colaborador), RAFAEL DELFINO RODRIGUES ALVES (DISCENTE - Colaborador), RITA MARCIA MAGALHAES FURTADO (DOCENTE - Colaborador), RODOLFO FRACALOSSI PAES (SERVIDOR - Colaborador), TATIELLY LANA MACHADO SILVA (EXTERNO - Colaborador);EM ANDAMENTO (Documentos Conferidos);03/04/2019;28/03/2019 a 28/03/2022;
PI03058-2019;INSTITUTO DE INFORMATICA;Pesquisa e Desenvolvimento de Algoritmos para Sintetização de Voz;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação - Sistemas de Informação;Com Programa de Pós-graduação da UFG;não;não;ANDERSON DA SILVA SOARES (DOCENTE - Coordenador), FREDERICO SANTOS DE OLIVEIRA (DISCENTE - Colaborador), LARISSA VASCONCELLOS DE MORAES (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);02/12/2018;01/01/2019 a 30/07/2020;
PI03611-2019;UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIA;Diagnóstico sobre a implementação de políticas públicas e inovação tecnológica nas instituições judiciárias do município de Goiás: desafios e possibilidade de implantação de um observatório vilaboense;Ciências Sociais Aplicadas - Direito - Direito Público - Direito Processual Civil;Tipo de vínculo desconhecido;não;não;ANDREA ABRAHAO COSTA (DOCENTE - Coordenador), MARIA CAROLINA CARVALHO MOTTA (DOCENTE - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);07/04/2019;02/05/2019 a 31/08/2020;
PI03794-2019;FACULDADE DE LETRAS;ENSINO DE LIBRAS NA CRECHE ESCOLA E NO ENSINO FUNDAMENTAL;Lingüística, Letras e Artes - Lingüística - Lingüística Aplicada;Tipo de vínculo desconhecido;não;sim;ANA CAROLINA MOREIRA NASCIMENTO (DISCENTE - Colaborador), ANDREA DOS GUIMARAES DE CARVALHO (DOCENTE - Coordenador), GILMAR GARCIA MARCELINO (DOCENTE - Vice-coodernador), LEANDRO VIANA SILVA (EXTERNO - Colaborador), LILIA ALVES PEREIRA (DISCENTE - Colaborador), MARIA JOSE DOS SANTOS (DISCENTE - Colaborador), ROSANGELA COSTA DA SILVA (SERVIDOR - Colaborador), SINVAL MARTINS DE SOUSA FILHO (DOCENTE - Vice-coodernador), WESLENE VARGAS DE SOUZA PRADO (DISCENTE - Colaborador);SUBMETIDO;26/06/2019;26/06/2019 a 13/12/2021;
PI03223-2019;FACULDADE DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA;Faculdade de Administração, Ciências Contábeis e Ciências Econômicas (FACE): indicadores acadêmicos e administrativos;Ciências Sociais Aplicadas - Administração - Administração Pública - Organizações Públicas;Com Programa de Pós-graduação da UFG;não;não;AÉCIO JORDAN FERREIRA ROCHA (DISCENTE - Colaborador), ALESSANDRA ALVES DE SOUZA (DISCENTE - Colaborador), ANDREA FREIRE DE LUCENA (DOCENTE - Coordenador), ARETUZA PEREIRA SILVA (SERVIDOR - Colaborador), BETHANIA BARBOSA DE PAULA (SERVIDOR - Colaborador), BRUNO LOPES DE PAULA (DISCENTE - Colaborador), CECÍLIA CHAVES RIBEIRO SANTOS (SERVIDOR - Colaborador), DAIANA PAULA PIMENTA (DOCENTE - Colaborador), GILSON CARLOS DE ASSIS JUNIOR (SERVIDOR - Colaborador), JACKELLINE FERREIRA CORDEIRO MILHOMEM (SERVIDOR - Colaborador), JAKELINE OLIVEIRA PEREIRA (DISCENTE - Colaborador), JOÃO JOSÉ GONÇALVES SOARES (DISCENTE - Colaborador), KLEBER DOMINGOS DE ARAUJO (DOCENTE - Colaborador), MICAELLE DAMASCENA SANTOS (DISCENTE - Colaborador), MOISES FERREIRA DA CUNHA (DOCENTE - Vice-coodernador), MONIZE RAMOS DO NASCIMENTO (SERVIDOR - Colaborador), MURILO OLIVEIRA PEREIRA (DISCENTE - Colaborador), OSMAR GONÇALVES DE OLIVEIRA (SERVIDOR - Colaborador), THAYNA CARNEIRO SERPA (DISCENTE - Colaborador), THAYRONE WHARLEY FRANCO NOLETO (SERVIDOR - Colaborador), TIAGO CAMARINHA LOPES (DOCENTE - Colaborador), VANILDA MARQUES PEREIRA (DISCENTE - Colaborador), VICENTE DANIEL DE SOUSA NETO (SERVIDOR - Colaborador), VINICIUS GOMES MOREIRA (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);29/01/2019;29/01/2019 a 31/12/2021;
PI03565-2019;INSTITUTO DE QUIMICA;Desenvolvimento de novas metodologias analíticas baseadas em técnicas  miniaturizadas de preparo de amostras aplicadas à determinação de agroquímicos em  amostras de solo;Ciências Exatas e da Terra - Química - Química Analítica - Separação;Tipo de vínculo desconhecido;não;não;ANDREA RODRIGUES CHAVES (DOCENTE - Coordenador), BONIEK GONTIJO VAZ (DOCENTE - Colaborador), GABRIEL HENRY MORAIS DUFRAYER (DISCENTE - Colaborador), RAFAEL OLIVEIRA MARTINS (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);05/04/2019;01/04/2019 a 05/04/2024;
PI03712-2019;FACULDADE DE FILOSOFIA;Teorias da Magnitude e do Continuum;Ciências Humanas - Filosofia - Lógica;Tipo de vínculo desconhecido;não;não;ALEXANDER ALMEIDA PEREIRA (DISCENTE - Colaborador), ANDRE DA SILVA PORTO (DOCENTE - Coordenador), ARACELI ROSICH SOARES VELLOSO (DOCENTE - Colaborador), DIOGO CONCEICAO DA SILVA (DISCENTE - Colaborador), FILIPE BORGES ALBERNAZ (DISCENTE - Colaborador), IGOR SOUZA SARAIVA (DISCENTE - Colaborador), PAULO JÚNIO DE OLIVEIRA (DISCENTE - Colaborador), PRISCILLA DA VEIGA BORGES (DISCENTE - Colaborador), SEBASTIAO ALONSO JUNIOR (DISCENTE - Colaborador), WANESSA VITORIA GOMES (DISCENTE - Colaborador), WELLINGTON DAMASCENO DE ALMEIDA (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);15/04/2019;05/04/2019 a 05/04/2022;
PI03646-2019;INSTITUTO DE CIENCIAS BIOLOGICAS;Avaliação molecular do polimorfismo genético do gene ECA I/D na performance esportiva em atletas de futebol;Ciências da Saúde - Educação Física;Tipo de vínculo desconhecido;não;sim;ANGELA ADAMSKI DA SILVA (DOCENTE - Coordenador), RODRIGO DA SILVA SANTOS (DOCENTE - Vice-coodernador), THAÍS CIDÁLIA VIEIRA GIGONZAC (EXTERNO - Colaborador), WANDELISA CANÇADO FLORES MENEZES (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);08/04/2019;01/03/2019 a 01/03/2020;
PI03341-2019;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;O discurso do patriotismo do Governo Federal e a produção de sentidos nas redes sociais digitais;Ciências Sociais Aplicadas - Comunicação;Tipo de vínculo desconhecido;não;não;ANGELA TEIXEIRA DE MORAES (DOCENTE - Coordenador), FERNANDO CEZAR MELO DE OLIVEIRA (SERVIDOR - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);15/03/2019;15/05/2019 a 15/08/2020;
PI03716-2019;ESCOLA DE MUSICA E ARTES CENICAS;O CANTO CORAL EM GOIÂNIA: TRAJETÓRIAS E PERSPECTIVAS;Lingüística, Letras e Artes - Artes - Música - Regência, Lingüística, Letras e Artes - Artes - Música - Canto;Tipo de vínculo desconhecido;não;não;ANGELO DE OLIVEIRA DIAS (DOCENTE - Coordenador);EM ANDAMENTO (Documentos Conferidos);17/04/2019;14/04/2019 a 14/04/2024;
PI03532-2019;ESCOLA DE MUSICA E ARTES CENICAS;Processos composicionais, gesto musical, performance interativa e suas reflexões sob o prisma da Sonologia  ;Lingüística, Letras e Artes - Artes - Música - Composição Musical;Tipo de vínculo desconhecido;não;não;ANSELMO GUERRA DE ALMEIDA (DOCENTE - Coordenador), HELENA BITTENCOURT ARRUDA (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);04/04/2019;04/04/2019 a 31/12/2022;
PI03770-2019;UAE - DE ENGENHARIA - CATALÃO;ENVIRONMENTAL MODELING: STUDIES FOR THE MINERAL SECTOR;Engenharias - Engenharia de Minas;Tipo de vínculo desconhecido;não;não;ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Coordenador), MARCOS NAPOLEAO RABELO (DOCENTE - Colaborador), SHELCI DA COSTA BANDEIRA (DISCENTE - Colaborador), WANDERLEI MALAQUIAS PEREIRA JUNIOR (DOCENTE - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);04/06/2019;04/06/2019 a 02/06/2020;
PI03586-2019;UAE - DE ENGENHARIA - CATALÃO;BIODIGESTÃO DE RESÍDUOS ORGÂNICOS;Engenharias - Engenharia Sanitária, Outras - Fontes Alternativas de Energia;Tipo de vínculo desconhecido;não;não;ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Colaborador), ANTOVER PANAZZOLO SARMENTO (DOCENTE - Coordenador), BRUNO CESAR DE JESUS MORAIS (DISCENTE - Colaborador), DANIELLE CRISTINA DE FREITAS GONCALVES (DISCENTE - Colaborador), DÉBORA ASTONI MOREIRA (EXTERNO - Colaborador), SÉRGIO HENRIQUE FERNANDES MUNDIM (SERVIDOR - Colaborador), VANESSA DA SILVA MACHADO (DISCENTE - Colaborador);EXCLUÍDO;06/04/2019;01/04/2019 a 01/08/2022;
PI03665-2019;UAE - DE ENGENHARIA - CATALÃO;BIODIGESTÃO DE RESÍDUOS ORGÂNICOS;Engenharias - Engenharia Civil, Engenharias - Engenharia Sanitária, Outras - Fontes Alternativas de Energia;Tipo de vínculo desconhecido;não;não;ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Colaborador), ANTOVER PANAZZOLO SARMENTO (DOCENTE - Coordenador), BRUNO CESAR DE JESUS MORAIS (DISCENTE - Colaborador), DANIELLE CRISTINA DE FREITAS GONCALVES (DISCENTE - Colaborador), DÉBORA ASTONI MOREIRA (EXTERNO - Colaborador), SÉRGIO HENRIQUE FERNANDES MUNDIM (SERVIDOR - Colaborador), VANESSA DA SILVA MACHADO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);09/04/2019;01/04/2019 a 31/12/2022;
PI03462-2019;INSTITUTO DE QUIMICA;Tratamento de efluentes por meio de adsorção usando resíduos da indústria química;Engenharias - Engenharia Química - Tecnologia Química - Tratamentos e Aproveitamento de Rejeitos;Tipo de vínculo desconhecido;não;não;ARACELI APARECIDA SEOLATTO (DOCENTE - Coordenador), FABIOLA MELAZO AMORIM SILVA COSTA (DISCENTE - Colaborador), FERNANDA FERREIRA FREITAS (DOCENTE - Colaborador), GUSTAVO HENRIQUE AMARAL MONTEIRO ROCHA (DISCENTE - Colaborador), KRISTOPHER RODRIGUES DORNELES (DISCENTE - Colaborador), SAMUEL DO ESPIRITO SANTO BORGES (DISCENTE - Colaborador), THIAGO RUIZ ZIMMER (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);29/03/2019;25/03/2019 a 10/08/2022;
